applicant_id,age,sex,race,income,credit_score,dti,institution_id,cohort_default_rate,program_level,major,loan_amount,model1_recommendation,model2_recommendation,loan_granted,good_loan
0,19,F,Other,5000,597,0.104,135,0.0452,undergrad,STEM,30000.0,1,1,1,1
1,27,F,Asian,22000,739,0.139,135,0.0452,graduate,STEM,29000.0,1,1,1,1
2,27,F,White,44000,850,0.104,25,0.0455,undergrad,Arts,20000.0,1,1,1,1
3,20,F,White,4500,850,0.097,23,0.3749,undergrad,STEM,88000.0,0,1,1,1
4,31,M,White,14000,849,0.224,98,0.1411,undergrad,Arts,9000.0,0,1,1,1
5,31,F,White,47000,773,0.141,62,0.0725,undergrad,Arts,7000.0,1,1,1,1
6,26,F,White,10000,850,0.311,76,0.0207,undergrad,STEM,16000.0,1,1,1,1
7,21,F,White,19000,850,0.177,76,0.0207,graduate,Law,67000.0,1,1,1,1
8,23,F,White,5000,686,0.053,25,0.0455,undergrad,Arts,43000.0,1,1,1,1
9,19,M,Black,4500,587,0.339,120,0.0542,undergrad,STEM,47000.0,0,0,0,
10,19,F,White,23000,538,0.097,96,0.0599,graduate,Law,84000.0,1,1,1,1
11,19,M,White,7500,561,0.054,25,0.0455,undergrad,Arts,38000.0,1,1,1,1
12,26,F,White,36000,699,0.178,80,0.1469,graduate,STEM,52000.0,0,1,1,1
13,31,M,Black,30000,622,0.02,37,0.0627,graduate,Business,35000.0,1,1,1,1
14,28,F,White,22000,721,0.205,25,0.0455,undergrad,Business,27000.0,1,1,1,1
15,20,F,White,2500,351,0.269,229,0.0846,undergrad,Arts,65000.0,0,0,0,
16,31,M,White,23000,607,0.189,135,0.0452,graduate,Law,90000.0,1,1,1,1
17,23,F,Black,1500,507,0.272,25,0.0455,undergrad,Business,10000.0,0,0,0,
18,26,M,Other,19000,592,0.279,135,0.0452,undergrad,Arts,29000.0,0,0,0,
19,25,M,White,34000,727,0.191,72,0.098,graduate,STEM,34000.0,1,1,1,1
20,22,M,White,31000,452,0.278,130,0.0738,graduate,STEM,18000.0,0,0,0,
21,26,F,White,10000,687,0.288,171,0.0801,undergrad,Arts,10000.0,0,0,0,
22,29,M,White,25000,850,0.224,135,0.0452,undergrad,STEM,30000.0,1,1,1,1
23,24,F,White,36000,627,0.24,195,0.0089,graduate,Law,56000.0,1,1,1,1
24,26,F,Other,31000,739,0.22,35,0.1592,undergrad,Arts,27000.0,0,1,1,1
25,28,M,White,35000,850,0.275,76,0.0207,undergrad,Arts,22000.0,1,1,1,1
26,25,M,White,19000,761,0.143,37,0.0627,undergrad,Arts,18000.0,1,1,1,1
27,22,M,Other,4500,850,0.236,135,0.0452,undergrad,Arts,11000.0,1,1,1,1
28,30,F,White,50000,565,0.208,211,0.0262,undergrad,Arts,14000.0,1,0,1,1
29,20,F,Other,32000,773,0.206,196,0.1026,graduate,Law,30000.0,1,1,1,1
30,19,F,Other,19000,650,0.289,76,0.0207,graduate,Law,22000.0,1,1,1,1
31,26,M,Black,36000,823,0.129,248,0.0114,graduate,Business,32000.0,1,1,1,1
32,23,M,Other,8000,850,0.327,122,0.0715,undergrad,Business,55000.0,0,0,1,1
33,20,F,Asian,3500,850,0.211,44,0.0905,undergrad,Arts,41000.0,0,1,1,1
34,28,M,White,36000,850,0.302,65,0.1242,graduate,STEM,22000.0,0,1,1,1
35,23,F,White,17000,760,0.385,11,0.1175,graduate,Arts,56000.0,0,0,0,
36,32,F,White,36000,733,0.39,181,0.0695,undergrad,Arts,17000.0,0,0,0,
37,19,M,White,19000,850,0.269,135,0.0452,graduate,STEM,27000.0,1,1,1,1
38,25,M,White,27000,763,0.02,27,0.0526,graduate,Business,45000.0,1,1,1,1
39,26,M,White,10000,569,0.289,135,0.0452,undergrad,Business,37000.0,0,0,0,
40,28,M,White,16000,829,0.022,154,0.0379,undergrad,Business,27000.0,1,1,1,1
41,23,F,Asian,7500,838,0.337,20,0.0,undergrad,STEM,57000.0,1,0,1,1
42,24,F,White,17000,844,0.119,135,0.0452,undergrad,STEM,69000.0,1,1,1,1
43,25,M,Asian,10000,689,0.422,96,0.0599,graduate,Business,60000.0,0,0,0,
44,24,F,White,15000,850,0.305,195,0.0089,undergrad,Arts,46000.0,1,0,1,1
45,31,M,Other,62000,576,0.37,20,0.0,graduate,Law,46000.0,1,0,0,
46,28,F,Other,20000,762,0.348,25,0.0455,graduate,Business,67000.0,0,0,1,0
47,21,F,Other,5000,594,0.238,135,0.0452,undergrad,Arts,25000.0,0,0,0,
48,19,M,Other,1000,714,0.292,161,0.086,undergrad,Arts,53000.0,0,0,0,
49,20,F,Black,42000,798,0.217,14,0.0717,graduate,STEM,7000.0,1,1,1,1
50,21,F,White,38000,694,0.14,135,0.0452,graduate,Business,117000.0,1,1,1,1
51,26,F,Other,35000,545,0.188,135,0.0452,undergrad,STEM,33000.0,1,1,0,
52,27,M,White,100000,320,0.053,161,0.086,undergrad,Arts,63000.0,1,1,0,
53,19,F,White,18000,618,0.097,69,0.0363,graduate,Business,66000.0,1,1,1,1
54,27,F,White,29000,661,0.023,194,0.0493,undergrad,Arts,43000.0,1,1,1,1
55,21,F,White,7000,449,0.09,25,0.0455,undergrad,Arts,31000.0,1,0,0,
56,22,F,Black,6000,546,0.342,96,0.0599,undergrad,Arts,12000.0,0,0,0,
57,22,F,White,7000,802,0.076,142,0.3267,undergrad,Arts,19000.0,0,1,1,1
58,23,F,White,3000,709,0.071,20,0.0,undergrad,Arts,20000.0,1,1,1,1
59,24,M,Black,17000,558,0.285,62,0.0725,graduate,Law,30000.0,0,0,0,
60,19,F,White,7000,822,0.376,58,0.062,undergrad,Business,40000.0,0,0,1,0
61,25,F,White,35000,850,0.268,34,0.0406,undergrad,STEM,8000.0,1,1,1,1
62,24,F,White,16000,489,0.244,124,0.3591,undergrad,Business,47000.0,0,0,0,
63,23,M,Black,3500,699,0.111,25,0.0455,undergrad,STEM,40000.0,1,1,1,1
64,36,F,Asian,41000,827,0.222,3,0.0564,undergrad,STEM,29000.0,1,1,1,1
65,19,M,White,5000,850,0.086,125,0.076,undergrad,Business,25000.0,1,1,1,1
66,19,F,White,33000,760,0.045,62,0.0725,graduate,Law,45000.0,1,1,1,1
67,33,M,White,18000,676,0.257,76,0.0207,undergrad,Arts,16000.0,1,0,1,1
68,25,M,Asian,21000,569,0.13,135,0.0452,undergrad,Arts,55000.0,1,0,1,1
69,19,M,White,4500,824,0.04,38,0.0889,undergrad,Business,24000.0,1,1,1,1
70,24,M,Black,21000,581,0.313,97,0.17,undergrad,STEM,21000.0,0,0,0,
71,19,M,White,6000,733,0.268,125,0.076,undergrad,Business,18000.0,0,0,1,1
72,19,M,Other,3500,850,0.097,76,0.0207,undergrad,STEM,19000.0,1,1,1,1
73,27,F,White,17000,709,0.169,186,0.0625,graduate,Arts,11000.0,1,1,1,1
74,29,M,White,41000,691,0.286,124,0.3591,graduate,Law,134000.0,0,1,0,
75,19,M,Other,36000,830,0.092,135,0.0452,graduate,Law,30000.0,1,1,1,1
76,27,M,White,18000,781,0.099,25,0.0455,undergrad,STEM,23000.0,1,1,1,1
77,28,M,White,20000,757,0.101,25,0.0455,graduate,STEM,113000.0,1,1,1,1
78,26,M,Other,22000,735,0.123,112,0.1324,graduate,Business,21000.0,0,1,1,1
79,23,F,White,3500,584,0.274,38,0.0889,undergrad,STEM,51000.0,0,0,0,
80,35,F,White,44000,486,0.102,25,0.0455,graduate,Business,41000.0,1,1,1,1
81,30,M,White,21000,850,0.261,135,0.0452,undergrad,Business,31000.0,1,1,1,1
82,26,M,Other,37000,759,0.504,62,0.0725,undergrad,STEM,21000.0,0,0,0,
83,26,F,White,40000,577,0.169,76,0.0207,undergrad,Arts,25000.0,1,1,1,1
84,19,M,White,6500,692,0.18,98,0.1411,undergrad,Arts,10000.0,0,0,1,1
85,19,F,Black,2500,764,0.543,25,0.0455,undergrad,Arts,11000.0,0,0,0,
86,23,F,Black,32000,605,0.11,169,0.0822,graduate,Law,21000.0,1,1,1,1
87,26,F,Other,18000,619,0.158,62,0.0725,undergrad,Business,35000.0,1,1,1,1
88,26,F,White,15000,685,0.187,229,0.0846,undergrad,Arts,29000.0,0,1,1,1
89,29,M,Asian,14000,524,0.185,135,0.0452,undergrad,Business,54000.0,1,0,0,
90,32,M,Black,43000,582,0.106,135,0.0452,undergrad,Business,29000.0,1,1,1,1
91,29,F,White,32000,663,0.228,38,0.0889,undergrad,Arts,77000.0,0,0,1,0
92,23,M,White,25000,728,0.151,25,0.0455,graduate,STEM,33000.0,1,1,1,1
93,21,M,White,32000,454,0.199,23,0.3749,graduate,STEM,45000.0,0,0,0,
94,19,F,White,4000,431,0.343,76,0.0207,undergrad,Business,29000.0,0,0,0,
95,24,M,Black,24000,616,0.168,135,0.0452,graduate,Law,68000.0,1,1,1,1
96,22,M,Black,5500,586,0.211,14,0.0717,undergrad,Arts,34000.0,0,0,0,
97,25,M,Black,20000,603,0.363,59,0.3318,graduate,Business,176000.0,0,0,0,
