applicant_id,institution_id,cohort_default_rate,race,age,sex,status,income,credit_score,dti,program_level,major,loan_amount,score_base,score_with_cdr,approved
0,135,0.0452137813055003,Other,35,F,Non-US,29000,486,0.215,undergrad,Business,50000.0,-0.8523636363636363,-1.3045014494186393,0
1,135,0.0452137813055003,White,23,F,US Person,3500,342,0.214,undergrad,Arts,40000.0,-1.6270000000000002,-2.079137813055003,0
2,25,0.0454556038190779,White,24,F,Non-US,16000,444,0.512,undergrad,Business,66000.0,-1.677090909090909,-2.131646947281688,0
3,23,0.3748923690837981,Black,19,F,Non-US,46000,575,0.287,graduate,Law,77000.0,-0.2207272727272726,-3.9696509635652535,0
4,135,0.0452137813055003,White,31,M,Non-US,14000,780,0.224,undergrad,Arts,9000.0,0.008727272727272709,-0.4434105403277303,1
5,76,0.0206891202622854,Black,31,F,Non-US,47000,704,0.141,undergrad,Arts,7000.0,0.0963636363636364,-0.11052756625921759,1
6,76,0.0206891202622854,White,26,F,Non-US,10000,822,0.311,undergrad,STEM,16000.0,0.2634545454545455,0.05656334283169151,1
7,135,0.0452137813055003,White,21,F,US Person,19000,831,0.177,graduate,Law,67000.0,0.7681818181818183,0.3160440051268153,1
8,74,0.1617494568275518,Black,23,F,Non-US,1000,617,0.053,undergrad,Arts,43000.0,-0.41999999999999993,-2.037494568275518,0
9,120,0.0542016312380452,White,23,F,Non-US,3000,791,0.156,undergrad,STEM,39000.0,0.4187272727272727,-0.12328903965317928,1
10,76,0.0206891202622854,White,19,F,US Person,23000,469,0.097,graduate,Arts,50000.0,-0.7641818181818181,-0.9710730208046721,1
11,37,0.0626858966647204,Black,19,M,US Person,6000,492,0.054,undergrad,Arts,38000.0,-0.7465454545454545,-1.3734044211926584,0
12,80,0.1468675551656549,White,34,F,Non-US,42000,431,0.118,undergrad,Arts,40000.0,-0.8803636363636363,-2.349039188020185,0
13,37,0.0626858966647204,White,19,F,Non-US,14000,747,0.139,graduate,Arts,7000.0,0.20872727272727273,-0.4181316939199312,1
14,25,0.0454556038190779,White,22,F,Non-US,19000,702,0.216,graduate,STEM,41000.0,0.12109090909090908,-0.3334651290998699,1
15,229,0.0845744546441171,White,21,F,Non-US,5500,607,0.022,undergrad,Business,37000.0,-0.06736363636363635,-0.9131081828048073,1
16,98,0.1410823134892537,Asian,31,M,US Person,23000,538,0.189,graduate,Law,90000.0,-0.09727272727272729,-1.5080958621652645,0
17,25,0.0454556038190779,Other,23,F,Non-US,5000,536,0.272,undergrad,Business,10000.0,-0.8285454545454546,-1.2831014927362336,0
18,135,0.0452137813055003,White,30,M,Non-US,24000,459,0.159,undergrad,STEM,68000.0,-0.7685454545454546,-1.2206832676004575,0
19,72,0.098006312495863,White,19,M,US Person,1500,749,0.176,undergrad,Arts,23000.0,-0.08299999999999999,-1.06306312495863,0
20,130,0.0737830316203467,White,26,F,US Person,15000,850,0.041,undergrad,Arts,27000.0,0.6352727272727273,-0.10255758893073974,1
21,171,0.0801174711718513,Black,31,F,Non-US,11000,614,0.189,graduate,Business,60000.0,-0.292909090909091,-1.094083802627604,0
22,135,0.0452137813055003,Asian,27,F,Non-US,23000,545,0.236,undergrad,Business,13000.0,-0.6158181818181818,-1.0679559948731847,0
23,195,0.0088945731217383,White,21,M,Non-US,7500,433,0.116,undergrad,Arts,15000.0,-1.076090909090909,-1.165036640308292,0
24,25,0.0454556038190779,Other,22,F,US Person,6000,727,0.191,undergrad,Arts,69000.0,-0.266,-0.720556038190779,1
25,229,0.0845744546441171,White,24,F,Non-US,33000,771,0.197,undergrad,Arts,22000.0,0.144,-0.701744546441171,1
