applicant_id,age,sex,race,income,credit_score,dti,institution_id,cohort_default_rate,program_level,major,loan_amount,score_base,score_with_cdr,approved
0,19,F,Other,5000,512,0.104,135,0.0452137813055003,undergrad,STEM,30000.0,-0.47981818181818175,-1.0223835574841853,1
1,27,F,Asian,22000,693,0.139,135,0.0452137813055003,graduate,STEM,29000.0,0.36036363636363633,-0.18220173930236727,1
2,27,F,White,44000,850,0.104,25,0.0454556038190779,undergrad,Arts,20000.0,0.6832727272727274,0.13780548144379257,1
3,20,F,White,4500,810,0.097,23,0.3748923690837981,undergrad,STEM,88000.0,0.5148181818181818,-3.9838902471873947,0
4,31,M,White,14000,780,0.224,98,0.1410823134892537,undergrad,Arts,9000.0,0.008727272727272709,-1.6842604891437718,0
5,31,F,White,47000,704,0.141,62,0.0725423339255437,undergrad,Arts,7000.0,0.0963636363636364,-0.7741443707428879,1
6,26,F,White,10000,822,0.311,76,0.0206891202622854,undergrad,STEM,16000.0,0.2634545454545455,0.015185102307120696,1
7,21,F,White,19000,831,0.177,76,0.0206891202622854,graduate,Law,67000.0,0.7681818181818183,0.5199123750343935,1
8,23,F,White,5000,617,0.053,25,0.0454556038190779,undergrad,Arts,43000.0,-0.396,-0.9414672458289348,1
9,19,M,Black,4500,541,0.339,120,0.0542016312380452,undergrad,STEM,47000.0,-0.9473636363636366,-1.597783211220179,0
10,19,F,White,23000,469,0.097,96,0.0598803195385864,graduate,Arts,50000.0,-0.7641818181818181,-1.4827456526448548,0
11,19,M,White,7500,492,0.054,25,0.0454556038190779,undergrad,Arts,38000.0,-0.7375454545454545,-1.2830127003743894,0
12,26,F,White,36000,630,0.178,80,0.1468675551656549,graduate,STEM,52000.0,0.03727272727272726,-1.7251379347151314,0
13,31,M,Black,30000,576,0.02,37,0.0626858966647204,graduate,STEM,18000.0,0.22090909090909092,-0.5313216690675537,1
14,28,F,White,22000,652,0.205,25,0.0454556038190779,undergrad,Business,27000.0,-0.1707272727272727,-0.7161945185562075,1
15,20,F,White,2500,300,0.269,229,0.0845744546441171,undergrad,Arts,65000.0,-1.995727272727273,-3.0106207284566784,0
16,31,M,White,23000,538,0.189,135,0.0452137813055003,graduate,Law,90000.0,-0.09727272727272729,-0.6398381029387309,1
17,23,F,Black,1500,461,0.272,25,0.0454556038190779,undergrad,Business,10000.0,-1.1222727272727273,-1.667739973101662,0
18,26,M,Other,19000,507,0.279,135,0.0452137813055003,undergrad,Arts,29000.0,-1.064,-1.6065653756660037,0
19,25,M,White,34000,658,0.191,72,0.098006312495863,graduate,STEM,34000.0,0.20109090909090913,-0.9749848408594469,1
20,22,M,White,31000,383,0.278,130,0.0737830316203467,graduate,STEM,18000.0,-0.9909090909090912,-1.8763054703532516,0
21,26,F,White,10000,618,0.288,171,0.0801174711718513,undergrad,Arts,10000.0,-0.7323636363636362,-1.693773290425852,0
22,29,M,White,25000,787,0.224,135,0.0452137813055003,undergrad,STEM,30000.0,0.4001818181818182,-0.1423835574841854,1
23,24,F,White,36000,558,0.24,195,0.0088945731217383,graduate,Arts,31000.0,-0.5485454545454544,-0.6552803320063141,1
24,26,F,Other,31000,654,0.22,35,0.159167951253268,undergrad,Arts,27000.0,-0.33945454545454545,-2.2494699604937614,0
25,28,M,White,35000,781,0.275,76,0.0206891202622854,undergrad,Arts,22000.0,0.03636363636363632,-0.21190580678378848,1
26,25,M,White,19000,692,0.143,37,0.0626858966647204,undergrad,Arts,18000.0,-0.11927272727272724,-0.8715034872493719,1
27,22,M,Other,4500,850,0.236,135,0.0452137813055003,undergrad,Arts,11000.0,0.18227272727272734,-0.36029264839327624,1
28,30,F,White,50000,496,0.208,211,0.0262039808823449,undergrad,Arts,14000.0,-0.7759999999999999,-1.0904477705881388,1
29,20,F,Other,32000,688,0.206,196,0.1025750047919756,graduate,Arts,15000.0,-0.0318181818181818,-1.262718239321889,0
30,19,F,Other,19000,565,0.289,76,0.0206891202622854,graduate,Law,22000.0,-0.32309090909090904,-0.5713603522383338,1
31,26,M,Black,36000,777,0.129,248,0.0114381620879679,graduate,STEM,16000.0,0.7698181818181817,0.6325602367625669,1
32,23,M,Other,8000,850,0.327,122,0.0715110732622415,undergrad,Business,55000.0,0.12127272727272727,-0.7368601518741708,1
33,20,F,Asian,3500,835,0.211,44,0.0905072834983424,undergrad,Arts,41000.0,0.07172727272727275,-1.014360129252836,1
34,28,M,White,36000,850,0.302,65,0.1241910448658457,graduate,STEM,22000.0,0.6892727272727273,-0.8010198111174212,1
35,23,F,White,17000,691,0.385,11,0.1175081154987107,graduate,Arts,56000.0,-0.5689090909090909,-1.9790064768936193,0
36,32,F,White,36000,664,0.39,181,0.0694555405916422,undergrad,Arts,17000.0,-0.6130909090909091,-1.4465573961906155,0
37,19,M,White,19000,850,0.269,135,0.0452137813055003,graduate,STEM,27000.0,0.6532727272727272,0.11070735160672363,1
38,25,M,White,27000,694,0.02,27,0.0525884613954933,graduate,Business,45000.0,0.43200000000000005,-0.19906153674591953,1
39,26,M,White,10000,500,0.289,135,0.0452137813055003,undergrad,Business,37000.0,-0.9634545454545452,-1.506019921120549,0
40,28,M,White,16000,760,0.022,154,0.0379126509375481,undergrad,Business,27000.0,0.552,0.09704818874942284,1
41,23,F,Asian,7500,792,0.337,20,0.0,undergrad,STEM,57000.0,-0.012636363636363668,-0.012636363636363668,1
42,24,F,White,17000,775,0.119,135,0.0452137813055003,undergrad,STEM,69000.0,0.41854545454545455,-0.12401992112054905,1
43,25,M,Asian,10000,643,0.422,96,0.0598803195385864,graduate,Business,60000.0,-0.6594545454545454,-1.3780183799175822,0
44,24,F,White,15000,782,0.305,195,0.0088945731217383,undergrad,Arts,46000.0,-0.24000000000000002,-0.3467348774608596,1
45,31,M,Other,62000,491,0.37,20,0.0,graduate,Law,46000.0,-0.396181818181818,-0.396181818181818,1
46,28,F,Other,20000,677,0.348,25,0.0454556038190779,graduate,Business,67000.0,-0.3278181818181818,-0.8732854276471166,1
47,21,F,Other,5000,509,0.238,135,0.0452137813055003,undergrad,Arts,25000.0,-1.0587272727272727,-1.6012926483932763,0
48,19,M,Other,1000,629,0.292,161,0.0860070529714547,undergrad,Arts,53000.0,-0.8543636363636363,-1.8864482720210924,0
49,20,F,Black,42000,752,0.217,14,0.0716640292402546,graduate,STEM,7000.0,0.538909090909091,-0.3210592599739641,1
50,21,F,White,38000,625,0.14,135,0.0452137813055003,graduate,STEM,75000.0,0.10709090909090904,-0.4354744665750946,1
51,26,F,Other,35000,460,0.188,135,0.0452137813055003,undergrad,STEM,33000.0,-0.6569090909090909,-1.1994744665750945,1
52,27,M,White,100000,300,0.053,161,0.0860070529714547,undergrad,Arts,63000.0,-0.9787272727272728,-2.010811908384729,0
53,19,F,White,18000,549,0.097,69,0.0363466985267706,graduate,STEM,38000.0,-0.10327272727272724,-0.5394331095939744,1
54,27,F,White,29000,592,0.023,194,0.0493064737945422,undergrad,Arts,43000.0,-0.2829090909090909,-0.8745867764435973,1
55,21,F,White,7000,380,0.09,25,0.0454556038190779,undergrad,Arts,31000.0,-1.219818181818182,-1.7652854276471168,0
