applicant_id,age,sex,race,income,credit_score,dti,institution_id,cohort_default_rate,program_level,major,loan_amount,score_base,score_with_cdr,loan_granted,defaulted,model1_recommendation,model2_recommendation
0,19,F,Other,5000,512,0.104,135,0.0452137813055003,undergrad,STEM,30000.0,-0.47981818181818175,-1.0223835574841853,0,0,1,0
1,19,F,White,4500,651,0.105,12,0.0733281972091907,undergrad,STEM,29000.0,0.020636363636363647,-0.8593020028739248,1,0,1,1
2,31,M,White,49000,335,0.262,186,0.0625345913873529,undergrad,STEM,20000.0,-1.1754545454545455,-1.9258696421027803,0,0,0,0
3,21,F,Other,47000,542,0.287,135,0.0452137813055003,graduate,Law,77000.0,-0.3347272727272726,-0.8772926483932761,1,1,1,1
4,28,M,White,97000,742,0.308,25,0.0454556038190779,undergrad,Arts,50000.0,0.1005454545454545,-0.4449217912834803,1,0,1,1
5,28,M,Asian,37000,850,0.02,135,0.0452137813055003,graduate,Arts,59000.0,0.8592727272727272,0.3167073516067236,1,0,1,1
6,33,M,White,20000,384,0.227,135,0.0452137813055003,graduate,Arts,86000.0,-1.3512727272727274,-1.893838102938731,0,0,0,0
7,26,F,White,26000,471,0.348,135,0.0452137813055003,undergrad,Arts,39000.0,-1.290909090909091,-1.8334744665750946,0,0,0,0
8,23,F,White,6500,643,0.081,112,0.1324079841540636,undergrad,Arts,115000.0,-0.34845454545454546,-1.9373503553033085,0,0,0,1
9,19,M,White,30000,689,0.067,135,0.0452137813055003,graduate,Arts,36000.0,0.2378181818181818,-0.3047471938478218,1,0,1,1
10,29,F,Other,22000,421,0.262,37,0.0626858966647204,undergrad,Arts,14000.0,-1.324727272727273,-2.0769580327039177,0,0,0,0
11,23,F,White,42000,850,0.092,229,0.0845744546441171,graduate,STEM,8000.0,1.1452727272727274,0.1303792715433223,1,0,1,1
12,30,F,Black,24000,348,0.02,96,0.0598803195385864,undergrad,Arts,37000.0,-1.0941818181818181,-1.8127456526448549,0,0,0,0
13,19,M,White,21000,732,0.228,215,0.117501396154848,graduate,Arts,7000.0,0.018181818181818132,-1.391834935676358,1,0,0,1
14,25,F,White,18000,484,0.224,124,0.3590904470954283,undergrad,Arts,47000.0,-1.1436363636363638,-5.452721728781503,0,0,0,0
15,19,M,Black,1000,552,0.095,110,0.1297935402004485,undergrad,Business,30000.0,-0.4403636363636364,-1.9978861187690184,0,0,0,1
16,30,M,White,24000,459,0.159,96,0.0598803195385864,undergrad,STEM,68000.0,-0.7685454545454546,-1.4871092890084914,0,0,0,0
17,25,M,White,34000,658,0.191,72,0.098006312495863,graduate,STEM,34000.0,0.20109090909090913,-0.9749848408594469,1,0,1,1
18,19,F,Black,6500,679,0.223,135,0.0452137813055003,undergrad,STEM,89000.0,-0.20154545454545453,-0.7441108302114581,1,0,1,1
19,22,F,Other,15000,685,0.255,135,0.0452137813055003,graduate,Business,99000.0,-0.14272727272727273,-0.6852926483932763,1,0,1,1
20,26,M,White,38000,443,0.142,242,0.0548124266172623,undergrad,Arts,21000.0,-0.9087272727272727,-1.5664763921344202,0,0,0,0
21,19,F,White,7000,662,0.29,76,0.0206891202622854,undergrad,Arts,27000.0,-0.5943636363636364,-0.8426330795110613,1,0,1,0
22,27,M,White,10000,766,0.152,121,0.0259552783224867,graduate,Arts,50000.0,0.12781818181818178,-0.1836451580516586,1,0,1,1
23,28,M,White,10000,436,0.205,142,0.3267463977010624,undergrad,Arts,16000.0,-1.2281818181818183,-5.149138590594567,0,0,0,0
24,21,F,White,7000,596,0.169,135,0.0452137813055003,undergrad,Business,32000.0,-0.39236363636363636,-0.93492901202964,0,0,1,1
25,30,F,White,50000,496,0.208,211,0.0262039808823449,undergrad,Arts,14000.0,-0.7759999999999999,-1.0904477705881388,0,0,1,0
26,25,M,White,22000,607,0.124,232,0.0830288146298239,undergrad,Arts,54000.0,-0.4723636363636363,-1.4687094119215232,0,0,0,0
27,23,M,White,6500,560,0.152,61,0.0824980369278871,undergrad,Business,6000.0,-0.4922727272727272,-1.4822491704073724,0,0,0,0
28,30,F,Black,31000,577,0.321,76,0.0206891202622854,undergrad,Arts,57000.0,-0.9214545454545455,-1.1697239886019704,0,0,1,0
29,35,F,Black,26000,475,0.197,11,0.1175081154987107,undergrad,Business,15000.0,-0.7743636363636364,-2.184461022348165,0,0,0,0
30,33,F,Asian,14000,655,0.231,224,0.0737346298427714,undergrad,Arts,25000.0,-0.4598181818181818,-1.3446337399314388,1,0,0,0
31,23,M,Black,5000,520,0.108,25,0.0454556038190779,undergrad,Business,28000.0,-0.5587272727272727,-1.1041945185562074,0,0,1,0
32,19,M,Other,7500,308,0.159,25,0.0454556038190779,undergrad,Arts,26000.0,-1.6166363636363639,-2.162103609465299,0,0,0,0
33,19,F,White,7000,654,0.132,124,0.3590904470954283,undergrad,Arts,79000.0,-0.4074545454545454,-4.716539910599685,0,0,0,1
34,22,F,Asian,10000,850,0.162,20,0.0,graduate,STEM,35000.0,0.8132727272727274,0.8132727272727274,1,0,1,1
35,32,F,White,33000,671,0.077,44,0.0905072834983424,undergrad,Arts,17000.0,0.020363636363636375,-1.0657237656164724,1,0,1,1
36,21,F,White,8000,780,0.465,186,0.0625345913873529,undergrad,Arts,30000.0,-0.5092727272727273,-1.2596878239209621,1,0,0,0
37,28,F,Asian,15000,792,0.337,135,0.0452137813055003,undergrad,STEM,57000.0,0.03236363636363632,-0.5102017393023672,1,0,1,1
38,28,F,Other,21000,468,0.316,135,0.0452137813055003,undergrad,Arts,90000.0,-1.367818181818182,-1.9103835574841856,0,0,0,0
39,31,F,White,26000,476,0.144,44,0.0905072834983424,graduate,Arts,22000.0,-0.7147272727272725,-1.8008146747073814,0,0,0,0
40,19,F,White,3000,763,0.097,125,0.076007198487916,undergrad,Arts,73000.0,0.03490909090909089,-0.8771772909459011,1,0,1,1
41,22,F,White,3000,609,0.115,135,0.0452137813055003,undergrad,Arts,43000.0,-0.5610909090909091,-1.1036562847569127,1,0,1,0
42,26,M,White,23000,606,0.269,119,0.104774711507828,graduate,Arts,36000.0,-0.51,-1.7672965380939358,0,0,0,0
43,22,F,Other,4500,512,0.032,76,0.0206891202622854,undergrad,Arts,42000.0,-0.7388181818181817,-0.9870876249656065,0,0,1,0
44,25,M,Asian,10000,755,0.248,165,0.0719466863863115,undergrad,Arts,11000.0,-0.15418181818181817,-1.0175420548175562,1,0,1,1
45,19,M,White,3000,580,0.093,135,0.0452137813055003,undergrad,STEM,68000.0,-0.3225454545454545,-0.8651108302114581,0,0,1,1
46,28,F,White,33000,622,0.457,169,0.0821687824439703,undergrad,Arts,55000.0,-1.017818181818182,-2.0038435711458256,0,0,0,0
47,19,F,White,7500,386,0.316,150,0.3409611023539438,undergrad,STEM,23000.0,-1.3470000000000002,-5.4385332282473255,0,0,0,0
48,23,M,White,5000,850,0.094,166,0.0191756427111186,undergrad,Arts,25000.0,0.4692727272727274,0.23916501473930418,1,0,1,1
49,24,M,Black,24000,492,0.241,96,0.0598803195385864,undergrad,Arts,22000.0,-1.0125454545454544,-1.7311092890084911,0,0,0,0
50,25,F,Asian,35000,662,0.077,154,0.0379126509375481,undergrad,Arts,22000.0,-0.00036363636363637153,-0.4553154476142136,1,0,1,1
51,25,F,White,19000,670,0.274,76,0.0206891202622854,undergrad,Business,12000.0,-0.2612727272727273,-0.5095421704201522,1,0,1,1
52,20,M,White,4500,644,0.194,96,0.0598803195385864,undergrad,Arts,22000.0,-0.4828181818181818,-1.2013820162812185,0,0,1,0
53,19,M,White,5500,653,0.277,25,0.0454556038190779,undergrad,STEM,98000.0,-0.4100909090909091,-0.955558154919844,1,0,1,1
