applicant_id,institution_id,cohort_default_rate,race,age,sex,status,income,credit_score,dti,program_level,major,loan_amount,score_base,score_with_cdr,loan_granted,defaulted,approved,low_risk_terms
0,CommunityCollege,0.12,Other,25,F,Non-US,14000,536,0.116,undergrad,Business,15000.0,-0.5125454545454546,-0.7285454545454546,0,0,0,0
1,CommunityCollege,0.12,Other,35,F,Non-US,37000,546,0.306,graduate,STEM,15000.0,-0.46818181818181814,-0.6841818181818181,0,0,1,0
2,CommunityCollege,0.12,White,21,F,Non-US,13000,445,0.366,graduate,Law,162000.0,-1.0494545454545454,-1.2654545454545454,0,0,0,0
3,ForProfit1,0.25,Black,27,M,US Person,12000,638,0.424,undergrad,Business,37000.0,-0.9696363636363635,-1.4196363636363636,0,0,0,0
4,ForProfit1,0.25,White,20,M,Non-US,3500,392,0.417,undergrad,Arts,57000.0,-1.9511818181818184,-2.4011818181818185,0,0,0,0
5,StateU,0.065,Other,24,F,Non-US,17000,463,0.043,undergrad,Arts,50000.0,-0.914,-1.0310000000000001,0,0,0,0
6,StateU,0.065,White,19,F,Non-US,19000,850,0.059,graduate,Arts,21000.0,0.7732727272727273,0.6562727272727273,1,0,1,1
7,ForProfit2,0.3,White,27,F,Non-US,25000,602,0.203,undergrad,Arts,15000.0,-0.5305454545454545,-1.0705454545454547,0,0,0,0
8,StateU,0.065,White,27,M,Non-US,14000,377,0.212,graduate,Arts,18000.0,-1.2827272727272727,-1.3997272727272727,0,0,0,0
9,CommunityCollege,0.12,White,27,F,Non-US,17000,592,0.206,undergrad,Business,18000.0,-0.4209090909090909,-0.6369090909090909,0,0,1,0
10,UVA,0.035,Black,32,F,Non-US,17000,770,0.227,graduate,Arts,41000.0,-0.21563636363636368,-0.2786363636363637,0,0,1,1
11,CommunityCollege,0.12,White,22,F,Non-US,24000,607,0.237,graduate,STEM,34000.0,-0.1363636363636363,-0.3523636363636363,0,0,1,1
12,ForProfit1,0.25,Black,22,F,Non-US,58000,544,0.22,graduate,Arts,27000.0,-0.6774545454545454,-1.1274545454545455,0,0,0,0
13,CommunityCollege,0.12,White,19,M,Non-US,29000,743,0.178,graduate,Business,104000.0,0.3061818181818182,0.09018181818181822,1,0,1,1
14,CommunityCollege,0.12,Black,19,F,US Person,3500,674,0.357,undergrad,STEM,28000.0,-0.6557272727272727,-0.8717272727272727,0,0,0,0
15,CommunityCollege,0.12,White,19,F,Non-US,2000,544,0.275,undergrad,STEM,9000.0,-0.7234545454545456,-0.9394545454545455,0,0,0,0
16,CommunityCollege,0.12,White,24,F,Non-US,36000,715,0.163,graduate,Business,62000.0,0.27636363636363637,0.06036363636363637,1,0,1,1
