applicant_id,age,sex,race,income,credit_score,dti,institution_id,cohort_default_rate,program_level,major,loan_amount,score_base,score_with_cdr,model1_recommendation,model2_recommendation
0,23,F,White,3000,427,0.151,76,0.0206891202622854,undergrad,Business,38000.0,-0.9949090909090909,-1.2431785340565156,0,0
1,25,M,Asian,10000,637,0.458,135,0.0452137813055003,graduate,Arts,19000.0,-0.8532727272727272,-1.3958381029387308,0,0
2,19,F,Black,16000,481,0.293,73,0.0228348227025087,graduate,Arts,50000.0,-1.1545454545454545,-1.428563326975559,0,0
3,29,M,Other,34000,672,0.177,68,0.0875786003731616,graduate,Arts,26000.0,-0.019999999999999962,-1.0709432044779392,1,1
4,26,M,White,19000,634,0.146,61,0.0824980369278871,undergrad,STEM,24000.0,-0.03618181818181815,-1.0261582613164633,1,1
5,26,M,White,24000,593,0.204,229,0.0845744546441171,undergrad,Arts,21000.0,-0.5712727272727272,-1.5861661830021323,0,0
6,27,M,Black,22000,677,0.294,76,0.0206891202622854,graduate,Business,24000.0,-0.10781818181818181,-0.35608762496560664,1,1
7,24,M,White,32000,679,0.262,30,0.0320534171387883,undergrad,Arts,59000.0,-0.42654545454545456,-0.8111864602109142,1,1
8,23,F,White,4000,773,0.103,96,0.0598803195385864,undergrad,Arts,41000.0,0.06527272727272726,-0.6532911071903095,1,1
9,28,M,White,26000,817,0.158,135,0.0452137813055003,undergrad,Arts,50000.0,0.24727272727272728,-0.2952926483932763,1,1
10,23,M,Other,5500,666,0.092,143,0.3225492305952699,undergrad,STEM,19000.0,0.10718181818181818,-3.7634089489614206,0,1
11,19,M,White,5000,628,0.11,25,0.0454556038190779,undergrad,Arts,63000.0,-0.47,-1.0154672458289347,1,0
12,26,M,White,30000,850,0.343,135,0.0452137813055003,undergrad,STEM,12000.0,0.42127272727272724,-0.12129264839327636,1,1
13,27,M,White,25000,722,0.086,135,0.0452137813055003,graduate,Arts,26000.0,0.28981818181818186,-0.25274719384782174,1,1
14,25,M,White,20000,458,0.406,73,0.0228348227025087,undergrad,Arts,41000.0,-1.5901818181818184,-1.864199690611923,0,0
15,19,F,Other,16000,558,0.181,135,0.0452137813055003,graduate,Arts,29000.0,-0.5505454545454546,-1.093110830211458,1,0
16,20,F,White,4500,639,0.02,25,0.0454556038190779,undergrad,STEM,48000.0,0.046999999999999986,-0.4984672458289348,1,1
17,31,M,Asian,25000,850,0.046,25,0.0454556038190779,graduate,STEM,30000.0,1.1352727272727274,0.5898054814437926,1,1
18,24,F,White,18000,643,0.174,65,0.1241910448658457,graduate,Arts,18000.0,-0.21545454545454545,-1.705747083844694,0,1
19,22,M,White,7000,497,0.295,62,0.0725423339255437,undergrad,Arts,35000.0,-1.2043636363636365,-2.0748716434701606,0,0
20,25,M,Black,15000,548,0.159,124,0.3590904470954283,undergrad,STEM,97000.0,-0.4989090909090909,-4.807994456054231,0,0
21,19,M,White,14000,748,0.359,135,0.0452137813055003,graduate,Business,60000.0,-0.12763636363636358,-0.6702017393023671,1,1
22,19,M,Black,4500,634,0.207,19,0.0682581446813445,undergrad,Arts,79000.0,-0.6451818181818181,-1.464279554357952,0,0
23,22,F,Black,33000,321,0.179,135,0.0452137813055003,graduate,STEM,19000.0,-1.0063636363636366,-1.5489290120296402,0,0
24,22,F,Other,30000,714,0.075,135,0.0452137813055003,graduate,Business,47000.0,0.4127272727272727,-0.12983810293873088,1,1
25,19,F,White,5500,711,0.091,233,0.065642576798278,undergrad,Arts,31000.0,-0.027181818181818168,-0.8148927397611541,1,1
26,38,M,White,39000,628,0.106,135,0.0452137813055003,graduate,STEM,19000.0,0.29200000000000004,-0.25056537566600356,1,1
27,19,M,White,7000,534,0.261,76,0.0206891202622854,undergrad,Arts,19000.0,-1.001818181818182,-1.2500876249656068,0,0
28,36,F,White,37000,792,0.118,18,0.0370395003477631,undergrad,Arts,44000.0,0.3023636363636364,-0.1421103678095208,1,1
29,29,M,Asian,24000,850,0.35,73,0.0228348227025087,undergrad,Business,58000.0,0.17127272727272735,-0.1027451451573771,1,1
30,28,M,White,17000,850,0.146,44,0.0905072834983424,graduate,Business,100000.0,0.6872727272727274,-0.3988146747073814,1,1
31,22,F,Asian,18000,651,0.242,135,0.0452137813055003,graduate,Arts,17000.0,-0.32236363636363635,-0.86492901202964,1,1
32,29,F,White,17000,850,0.113,76,0.0206891202622854,undergrad,Arts,14000.0,0.5032727272727273,0.2550032841253025,1,1
33,26,F,White,17000,519,0.279,148,0.0975494628796399,undergrad,Business,86000.0,-0.9323636363636364,-2.1029571909193154,0,0
34,23,F,White,16000,733,0.295,130,0.0737830316203467,graduate,Law,64000.0,0.15781818181818183,-0.7275781976259785,1,1
35,30,M,White,14000,704,0.179,133,0.0638152484183391,undergrad,Arts,19000.0,-0.17763636363636365,-0.943419344656433,1,1
36,32,F,Black,38000,349,0.111,135,0.0452137813055003,graduate,Business,96000.0,-0.9385454545454545,-1.481110830211458,0,0
37,21,F,White,4500,474,0.292,62,0.0725423339255437,undergrad,STEM,37000.0,-0.9970000000000001,-1.8675080071065244,0,0
38,20,M,Asian,5500,781,0.189,135,0.0452137813055003,undergrad,Arts,28000.0,0.03136363636363637,-0.5112017393023672,1,1
39,21,F,White,1500,652,0.097,147,0.1173572203571072,undergrad,STEM,42000.0,-0.0777272727272727,-1.486013917012559,0,1
40,25,F,Other,33000,634,0.419,25,0.0454556038190779,graduate,Arts,32000.0,-0.6481818181818182,-1.1936490640107529,1,0
41,20,M,White,3000,604,0.324,25,0.0454556038190779,undergrad,STEM,21000.0,-0.5972727272727272,-1.142739973101662,1,0
42,22,F,White,10000,850,0.204,135,0.0452137813055003,graduate,Business,55000.0,0.5292727272727273,-0.013292648393276263,1,1
43,22,F,White,4500,387,0.324,233,0.065642576798278,undergrad,Business,23000.0,-1.4773636363636364,-2.265074557942972,0,0
44,26,F,Black,18000,351,0.303,98,0.1410823134892537,undergrad,STEM,47000.0,-1.4852727272727273,-3.1782604891437716,0,0
45,30,F,White,27000,562,0.145,205,0.0159789019923045,graduate,Law,47000.0,0.10200000000000009,-0.0897468239076539,1,1
46,22,M,White,5000,693,0.314,76,0.0206891202622854,undergrad,STEM,26000.0,-0.2416363636363636,-0.48990580678378837,1,1
47,28,M,White,37000,798,0.287,135,0.0452137813055003,undergrad,Arts,35000.0,0.08618181818181825,-0.45638355748418535,1,1
