applicant_id,institution_id,cohort_default_rate,race,age,sex,status,income,credit_score,dti,program_level,major,loan_amount,score_base,score_with_cdr,approved,low_risk_terms
0,UVA,0.035,Black,30,F,Non-US,26000,767,0.342,undergrad,Business,76000.0,-1.1365454545454545,-1.1995454545454545,1,0
1,StateU,0.065,White,31,M,US Person,26000,815,0.155,undergrad,Arts,22000.0,-0.06400000000000006,-0.18100000000000005,1,1
2,ForProfit1,0.25,White,28,F,Non-US,12000,494,0.137,undergrad,Arts,25000.0,-1.3932727272727274,-1.8432727272727274,0,0
3,CommunityCollege,0.12,White,19,F,Non-US,3500,708,0.067,undergrad,Business,29000.0,-0.1860909090909091,-0.4020909090909091,1,1
4,StateU,0.065,White,19,M,US Person,2000,595,0.135,undergrad,Business,24000.0,-0.878,-0.995,1,1
5,CommunityCollege,0.12,White,33,F,Non-US,26000,650,0.23,graduate,Arts,13000.0,-0.964,-1.18,1,0
6,StateU,0.065,White,22,M,Non-US,24000,637,0.241,graduate,Law,22000.0,-0.8172727272727272,-0.9342727272727271,1,1
7,CommunityCollege,0.12,Other,25,M,Non-US,21000,447,0.211,undergrad,Arts,26000.0,-1.8561818181818182,-2.0721818181818183,0,0
8,StateU,0.065,White,28,F,Non-US,18000,502,0.18,undergrad,Arts,85000.0,-1.6001818181818184,-1.7171818181818184,0,0
9,ForProfit2,0.3,White,28,M,Non-US,16000,759,0.326,graduate,Law,49000.0,-0.6616363636363638,-1.2016363636363638,1,0
10,UVA,0.035,White,23,M,US Person,8000,850,0.168,undergrad,STEM,16000.0,0.05327272727272725,-0.009727272727272765,1,1
11,StateU,0.065,White,24,F,Non-US,25000,645,0.158,undergrad,Business,41000.0,-0.6001818181818181,-0.7171818181818181,1,1
12,CommunityCollege,0.12,Other,19,M,Non-US,28000,487,0.227,graduate,STEM,27000.0,-1.282727272727273,-1.498727272727273,0,0
13,CommunityCollege,0.12,White,26,M,Non-US,15000,595,0.28,graduate,Business,92000.0,-1.48,-1.696,0,0
14,StateU,0.065,Asian,22,M,Non-US,5500,553,0.279,undergrad,Arts,24000.0,-1.635727272727273,-1.752727272727273,0,0
15,CommunityCollege,0.12,Black,26,F,Non-US,17000,452,0.166,undergrad,Arts,45000.0,-1.9820000000000002,-2.1980000000000004,0,0
16,CommunityCollege,0.12,White,20,M,Non-US,23000,580,0.268,graduate,Arts,68000.0,-1.6385454545454547,-1.8545454545454547,0,0
17,CommunityCollege,0.12,White,19,M,US Person,3000,657,0.249,undergrad,STEM,32000.0,-1.0025454545454546,-1.2185454545454546,1,0
18,ForProfit1,0.25,White,20,F,Non-US,3500,632,0.094,undergrad,Business,51000.0,-0.6704545454545455,-1.1204545454545456,1,0
19,StateU,0.065,White,39,F,Non-US,80000,610,0.253,undergrad,Arts,27000.0,-0.7774545454545455,-0.8944545454545455,1,1
20,CommunityCollege,0.12,White,24,F,US Person,11000,494,0.112,undergrad,Arts,9000.0,-1.2992727272727274,-1.5152727272727273,0,0
21,CommunityCollege,0.12,Other,19,F,Non-US,15000,713,0.101,graduate,Business,41000.0,-0.3849090909090909,-0.600909090909091,1,1
22,CommunityCollege,0.12,Other,21,F,Non-US,3000,651,0.278,undergrad,STEM,33000.0,-1.1903636363636365,-1.4063636363636365,0,0
23,StateU,0.065,Other,26,M,Non-US,19000,317,0.235,graduate,STEM,40000.0,-2.13690909090909,-2.25390909090909,0,0
