applicant_id,institution_id,cohort_default_rate,race,status,income,credit_score,dti,gpa,program_level,major_risk,loan_amount,score_base,score_with_cdr,approved
0,CommunityCollege,0.12,White,Non-US,143000.0,570.7,0.14851604197819687,2.979,undergrad,STEM,50000.0,-0.14454272614300379,-0.36054272614300376,0
1,CommunityCollege,0.12,Black,US Person,42000.0,716.7,0.038670878316750326,3.503,undergrad,Arts,40000.0,0.6116519044762699,0.39565190447626997,1
2,UVA,0.035,Black,Non-US,47000.0,723.6,0.1017127711644045,3.323,undergrad,Business,66000.0,0.9645936486622093,0.9015936486622093,1
3,StateU,0.065,White,Non-US,93000.0,699.2,0.0720442466542451,2.936,graduate,STEM,15000.0,1.2438490172196244,1.1268490172196244,1
4,ForProfit2,0.3,White,Non-US,43000.0,722.9,0.42063292969975996,3.036,graduate,Business,43000.0,0.5235328675470254,-0.016467132452974598,1
5,StateU,0.065,White,US Person,19000.0,559.2,0.032141899857616604,3.154,graduate,STEM,50000.0,-0.046876104165549104,-0.1638761041655491,0
6,StateU,0.065,Asian,Non-US,89000.0,539.0,0.280537686581177,2.556,graduate,Humanities,102000.0,-1.1320726346910033,-1.2490726346910033,0
7,CommunityCollege,0.12,White,Non-US,113000.0,618.1,0.06550010315071768,2.897,graduate,Humanities,86000.0,0.2592130365651658,0.04321303656516581,1
8,CommunityCollege,0.12,Asian,Non-US,14000.0,705.1,0.12545376899151628,2.784,undergrad,STEM,49000.0,0.7352527531888156,0.5192527531888156,1
9,StateU,0.065,White,Non-US,35000.0,716.0,0.18681265773688577,3.428,undergrad,Business,36000.0,1.042513535331843,0.9255135353318431,1
10,UVA,0.035,White,Non-US,55000.0,725.2,0.4941328716199903,2.57,undergrad,STEM,41000.0,0.04172783580998171,-0.021272164190018303,1
11,ForProfit1,0.25,White,Non-US,69000.0,695.7,0.20333316279022373,2.63,undergrad,STEM,87000.0,0.5659905198764852,0.11599051987648518,1
12,CommunityCollege,0.12,White,US Person,55000.0,606.5,0.1505301318759584,2.997,undergrad,STEM,31000.0,0.20563962448603185,-0.01036037551396815,1
